ID,name,price,currency_code,maxRebate,remainingStock,createdAt,createdBy,modifiedAt,modifiedBy
7f8e7d6c-5b4a-4321-9f8d-7c6b5a432198,Intel Core i7-12700K Processor,4299,,200,15,2024-01-15T00:00:00Z,admin,2024-01-15T00:00:00Z,admin
9d8c7b6a-3f2e-4567-8d9c-7b6a3f2e4567,NVIDIA GeForce RTX 4080 Graphics Card,12999,,500,3,2024-01-15T00:00:00Z,admin,2024-01-15T00:00:00Z,admin
1a2b3c4d-5e6f-4789-1a2b-3c4d5e6f4789,Samsung 2TB NVMe SSD,1899,,100,25,2024-01-15T00:00:00Z,admin,2024-01-15T00:00:00Z,admin
4e5f6a7b-8c9d-4901-4e5f-6a7b8c9d4901,Corsair 32GB DDR5 RAM Kit,2499,,150,8,2024-01-15T00:00:00Z,admin,2024-01-15T00:00:00Z,admin
2f3e4d5c-6b7a-4123-2f3e-4d5c6b7a4123,ASUS ROG STRIX Z790 Motherboard,3899,,250,6,2024-01-15T00:00:00Z,admin,2024-01-15T00:00:00Z,admin
5a6b7c8d-9e0f-4345-5a6b-7c8d9e0f4345,Noctua NH-D15 CPU Cooler,999,,50,20,2024-01-15T00:00:00Z,admin,2024-01-15T00:00:00Z,admin
8d9e0f1a-2b3c-4567-8d9e-0f1a2b3c4567,Seasonic 850W Power Supply,1599,,100,12,2024-01-15T00:00:00Z,admin,2024-01-15T00:00:00Z,admin
3c4d5e6f-7a8b-4789-3c4d-5e6f7a8b4789,Fractal Design Meshify C Case,1299,,75,18,2024-01-15T00:00:00Z,admin,2024-01-15T00:00:00Z,admin
6b7c8d9e-0f1a-4901-6b7c-8d9e0f1a4901,Western Digital 4TB HDD,1099,,50,30,2024-01-15T00:00:00Z,admin,2024-01-15T00:00:00Z,admin
9e0f1a2b-3c4d-4123-9e0f-1a2b3c4d4123,Arctic MX-5 Thermal Paste,149,,10,45,2024-01-15T00:00:00Z,admin,2024-01-15T00:00:00Z,admin
